Run,Start Time,End Time,Duration (minutes)
76,2024-10-18 09:36:10,2024-10-18 09:36:19,0.15902344783147176
77,2024-10-18 09:36:19,2024-10-18 09:36:29,0.15880730152130126
78,2024-10-18 09:36:29,2024-10-18 09:36:38,0.15927761793136597
79,2024-10-18 09:36:38,2024-10-18 09:36:48,0.16176489988962808
80,2024-10-18 09:36:48,2024-10-18 09:36:58,0.16084248622258504
81,2024-10-18 09:36:58,2024-10-18 09:37:07,0.16117574771245322
82,2024-10-18 09:37:07,2024-10-18 09:37:17,0.1596282680829366
83,2024-10-18 09:37:17,2024-10-18 09:37:27,0.16819751660029095
84,2024-10-18 09:37:27,2024-10-18 09:37:36,0.15715787808100382
85,2024-10-18 09:37:36,2024-10-18 09:37:46,0.15826271772384642
86,2024-10-18 09:37:46,2024-10-18 09:37:55,0.15970113277435302
87,2024-10-18 09:37:55,2024-10-18 09:38:05,0.1592614968617757
88,2024-10-18 09:38:05,2024-10-18 09:38:15,0.16226086616516114
89,2024-10-18 09:38:15,2024-10-18 09:38:24,0.15988888343175253
90,2024-10-18 09:38:24,2024-10-18 09:38:34,0.15976343154907227
91,2024-10-18 09:38:34,2024-10-18 09:38:44,0.1599709351857503
92,2024-10-18 09:38:44,2024-10-18 09:38:53,0.15930188496907552
93,2024-10-18 09:38:53,2024-10-18 09:39:03,0.15975791215896606
94,2024-10-18 09:39:03,2024-10-18 09:39:12,0.16106893618901572
95,2024-10-18 09:39:12,2024-10-18 09:39:22,0.1562982201576233
96,2024-10-18 09:39:22,2024-10-18 09:39:31,0.16064328352610271
97,2024-10-18 09:39:31,2024-10-18 09:39:41,0.15577848354975382
98,2024-10-18 09:39:41,2024-10-18 09:39:50,0.1566901167233785
99,2024-10-18 09:39:50,2024-10-18 09:40:00,0.16099985043207804
100,2024-10-18 09:40:00,2024-10-18 09:40:09,0.15846063296000162
